Year,Month, Oceanic Nino Index
1972,11,2.09
1972,12,2.12
1973,1,1.84
1973,2,1.25
1973,3,0.54
1973,4,-0.1
1973,5,-0.54
1973,6,-0.87
1973,7,-1.11
1973,8,-1.28
1973,9,-1.45
1973,10,-1.71
1973,11,-1.95
1973,12,-2.03
1974,1,-1.84
1974,2,-1.55
1974,3,-1.23
1974,4,-1.03
1974,5,-0.91
1974,6,-0.77
1974,7,-0.53
1974,8,-0.37
1974,9,-0.41
1974,10,-0.61
1974,11,-0.75
1974,12,-0.64
1975,1,-0.54
1975,2,-0.57
1975,3,-0.65
1975,4,-0.73
1975,5,-0.83
1975,6,-0.98
1975,7,-1.13
1975,8,-1.2
1975,9,-1.37
1975,10,-1.43
1975,11,-1.55
1975,12,-1.65
1976,1,-1.56
1976,2,-1.17
1976,3,-0.73
1976,4,-0.47
1976,5,-0.28
1976,6,-0.05
1976,7,0.18
1976,8,0.35
1976,9,0.62
1976,10,0.81
1976,11,0.86
1976,12,0.85
1977,1,0.71
1977,2,0.64
1977,3,0.34
1977,4,0.23
1977,5,0.21
1977,6,0.34
1977,7,0.35
1977,8,0.42
1977,9,0.57
1977,10,0.73
1977,11,0.81
1977,12,0.79
1978,1,0.69
1978,2,0.42
1978,3,0.06
1978,4,-0.18
1978,5,-0.31
1978,6,-0.29
1978,7,-0.36
1978,8,-0.42
1978,9,-0.42
1978,10,-0.29
1978,11,-0.08
1978,12,0
1979,1,0.03
1979,2,0.07
1979,3,0.2
1979,4,0.28
1979,5,0.23
1979,6,0.05
1979,7,0.04
1979,8,0.17
1979,9,0.33
1979,10,0.45
1979,11,0.52
1979,12,0.64
1980,1,0.59
1980,2,0.46
1980,3,0.34
1980,4,0.38
1980,5,0.48
1980,6,0.46
1980,7,0.25
1980,8,0.03
1980,9,-0.07
1980,10,0.02
1980,11,0.11
1980,12,-0.01
1981,1,-0.26
1981,2,-0.5
1981,3,-0.47
1981,4,-0.37
1981,5,-0.26
1981,6,-0.29
1981,7,-0.3
1981,8,-0.25
1981,9,-0.16
1981,10,-0.13
1981,11,-0.15
1981,12,-0.08
1982,1,-0.05
1982,2,0.07
1982,3,0.19
1982,4,0.47
1982,5,0.66
1982,6,0.72
1982,7,0.79
1982,8,1.07
1982,9,1.58
1982,10,1.97
1982,11,2.18
1982,12,2.23
1983,1,2.18
1983,2,1.92
1983,3,1.54
1983,4,1.29
1983,5,1.06
1983,6,0.72
1983,7,0.31
1983,8,-0.08
1983,9,-0.46
1983,10,-0.81
1983,11,-1
1983,12,-0.91
1984,1,-0.6
1984,2,-0.42
1984,3,-0.34
1984,4,-0.43
1984,5,-0.51
1984,6,-0.45
1984,7,-0.3
1984,8,-0.16
1984,9,-0.24
1984,10,-0.56
1984,11,-0.92
1984,12,-1.14
1985,1,-1.04
1985,2,-0.85
1985,3,-0.77
1985,4,-0.78
1985,5,-0.78
1985,6,-0.63
1985,7,-0.49
1985,8,-0.46
1985,9,-0.4
1985,10,-0.35
1985,11,-0.27
1985,12,-0.36
1986,1,-0.49
1986,2,-0.47
1986,3,-0.31
1986,4,-0.2
1986,5,-0.12
1986,6,-0.04
1986,7,0.22
1986,8,0.44
1986,9,0.71
1986,10,0.94
1986,11,1.14
1986,12,1.22
1987,1,1.23
1987,2,1.19
1987,3,1.06
1987,4,0.95
1987,5,0.97
1987,6,1.22
1987,7,1.51
1987,8,1.7
1987,9,1.65
1987,10,1.48
1987,11,1.25
1987,12,1.11
1988,1,0.81
1988,2,0.54
1988,3,0.14
1988,4,-0.31
1988,5,-0.88
1988,6,-1.3
1988,7,-1.3
1988,8,-1.11
1988,9,-1.19
1988,10,-1.48
1988,11,-1.8
1988,12,-1.85
1989,1,-1.69
1989,2,-1.43
1989,3,-1.08
1989,4,-0.83
1989,5,-0.58
1989,6,-0.4
1989,7,-0.31
1989,8,-0.27
1989,9,-0.24
1989,10,-0.22
1989,11,-0.16
1989,12,-0.05
1990,1,0.14
1990,2,0.21
1990,3,0.28
1990,4,0.29
1990,5,0.29
1990,6,0.31
1990,7,0.33
1990,8,0.38
1990,9,0.39
1990,10,0.35
1990,11,0.4
1990,12,0.41
1991,1,0.41
1991,2,0.26
1991,3,0.22
1991,4,0.26
1991,5,0.45
1991,6,0.64
1991,7,0.73
1991,8,0.64
1991,9,0.62
1991,10,0.79
1991,11,1.21
1991,12,1.53
1992,1,1.71
1992,2,1.63
1992,3,1.48
1992,4,1.29
1992,5,1.06
1992,6,0.73
1992,7,0.37
1992,8,0.09
1992,9,-0.13
1992,10,-0.25
1992,11,-0.28
1992,12,-0.13
1993,1,0.09
1993,2,0.3
1993,3,0.5
1993,4,0.67
1993,5,0.7
1993,6,0.57
1993,7,0.32
1993,8,0.25
1993,9,0.15
1993,10,0.1
1993,11,0.04
1993,12,0.06
1994,1,0.06
1994,2,0.07
1994,3,0.17
1994,4,0.31
1994,5,0.42
1994,6,0.41
1994,7,0.44
1994,8,0.43
1994,9,0.55
1994,10,0.74
1994,11,1.01
1994,12,1.09
1995,1,0.96
1995,2,0.72
1995,3,0.53
1995,4,0.3
1995,5,0.14
1995,6,-0.03
1995,7,-0.24
1995,8,-0.54
1995,9,-0.81
1995,10,-0.97
1995,11,-1
1995,12,-0.98
1996,1,-0.9
1996,2,-0.75
1996,3,-0.59
1996,4,-0.39
1996,5,-0.31
1996,6,-0.3
1996,7,-0.27
1996,8,-0.32
1996,9,-0.35
1996,10,-0.4
1996,11,-0.45
1996,12,-0.49
1997,1,-0.5
1997,2,-0.36
1997,3,-0.1
1997,4,0.28
1997,5,0.75
1997,6,1.22
1997,7,1.6
1997,8,1.9
1997,9,2.14
1997,10,2.33
1997,11,2.4
1997,12,2.39
1998,1,2.24
1998,2,1.93
1998,3,1.44
1998,4,0.99
1998,5,0.45
1998,6,-0.13
1998,7,-0.78
1998,8,-1.12
1998,9,-1.31
1998,10,-1.35
1998,11,-1.48
1998,12,-1.57
1999,1,-1.55
1999,2,-1.3
1999,3,-1.07
1999,4,-0.98
1999,5,-1.02
1999,6,-1.04
1999,7,-1.1
1999,8,-1.11
1999,9,-1.16
1999,10,-1.26
1999,11,-1.46
1999,12,-1.65
2000,1,-1.66
2000,2,-1.41
2000,3,-1.07
2000,4,-0.81
2000,5,-0.71
2000,6,-0.64
2000,7,-0.55
2000,8,-0.51
2000,9,-0.55
2000,10,-0.63
2000,11,-0.75
2000,12,-0.74
2001,1,-0.68
2001,2,-0.52
2001,3,-0.44
2001,4,-0.34
2001,5,-0.25
2001,6,-0.12
2001,7,-0.08
2001,8,-0.13
2001,9,-0.19
2001,10,-0.29
2001,11,-0.35
2001,12,-0.31
2002,1,-0.15
2002,2,0.03
2002,3,0.09
2002,4,0.2
2002,5,0.43
2002,6,0.65
2002,7,0.79
2002,8,0.86
2002,9,1.01
2002,10,1.21
2002,11,1.31
2002,12,1.14
2003,1,0.92
2003,2,0.63
2003,3,0.38
2003,4,-0.04
2003,5,-0.26
2003,6,-0.16
2003,7,0.08
2003,8,0.21
2003,9,0.26
2003,10,0.29
2003,11,0.35
2003,12,0.35
2004,1,0.37
2004,2,0.31
2004,3,0.23
2004,4,0.17
2004,5,0.17
2004,6,0.28
2004,7,0.47
2004,8,0.64
2004,9,0.7
2004,10,0.67
2004,11,0.66
2004,12,0.69
2005,1,0.64
2005,2,0.58
2005,3,0.45
2005,4,0.43
2005,5,0.29
2005,6,0.11
2005,7,-0.06
2005,8,-0.14
2005,9,-0.11
2005,10,-0.29
2005,11,-0.57
2005,12,-0.84
2006,1,-0.85
2006,2,-0.77
2006,3,-0.57
2006,4,-0.37
2006,5,-0.14
2006,6,-0.03
2006,7,0.1
2006,8,0.3
2006,9,0.54
2006,10,0.77
2006,11,0.94
2006,12,0.94
2007,1,0.66
2007,2,0.22
2007,3,-0.12
2007,4,-0.32
2007,5,-0.38
2007,6,-0.47
2007,7,-0.56
2007,8,-0.81
2007,9,-1.07
2007,10,-1.34
2007,11,-1.5
2007,12,-1.6
2008,1,-1.64
2008,2,-1.52
2008,3,-1.29
2008,4,-1.01
2008,5,-0.84
2008,6,-0.61
2008,7,-0.37
2008,8,-0.23
2008,9,-0.24
2008,10,-0.35
2008,11,-0.55
2008,12,-0.73
2009,1,-0.85
2009,2,-0.79
2009,3,-0.61
2009,4,-0.33
2009,5,0.01
2009,6,0.28
2009,7,0.45
2009,8,0.58
2009,9,0.71
2009,10,1.01
2009,11,1.36
2009,12,1.56
2010,1,1.5
2010,2,1.22
2010,3,0.84
2010,4,0.35
2010,5,-0.17
2010,6,-0.66
2010,7,-1.05
2010,8,-1.35
2010,9,-1.56
2010,10,-1.64
2010,11,-1.64
2010,12,-1.59
2011,1,-1.42
2011,2,-1.19
2011,3,-0.93
2011,4,-0.73
2011,5,-0.55
2011,6,-0.44
2011,7,-0.48
2011,8,-0.62
2011,9,-0.83
2011,10,-1.01
2011,11,-1.09
2011,12,-1.04
2012,1,-0.86
2012,2,-0.72
2012,3,-0.59
2012,4,-0.47
2012,5,-0.26
2012,6,-0.01
2012,7,0.25
2012,8,0.37
2012,9,0.37
2012,10,0.27
2012,11,0.05
2012,12,-0.21
2013,1,-0.43
2013,2,-0.43
2013,3,-0.34
2013,4,-0.3
2013,5,-0.36
2013,6,-0.41
2013,7,-0.4
2013,8,-0.32
2013,9,-0.26
2013,10,-0.18
2013,11,-0.17
2013,12,-0.27
2014,1,-0.42
2014,2,-0.46
2014,3,-0.27
2014,4,0.04
2014,5,0.21
2014,6,0.16
2014,7,0.05
2014,8,0.07
2014,9,0.23
2014,10,0.49
2014,11,0.64
2014,12,0.66
2015,1,0.55
2015,2,0.47
2015,3,0.53
2015,4,0.7
2015,5,0.93
2015,6,1.18
2015,7,1.52
2015,8,1.86
2015,9,2.16
2015,10,2.42
2015,11,2.57
2015,12,2.64
2016,1,2.48
2016,2,2.14
2016,3,1.58
2016,4,0.94
2016,5,0.39
2016,6,-0.07
2016,7,-0.36
2016,8,-0.54
2016,9,-0.63
2016,10,-0.69
2016,11,-0.67
2016,12,-0.56
2017,1,-0.34
2017,2,-0.16
2017,3,0.05
2017,4,0.2
2017,5,0.3
2017,6,0.31
2017,7,0.14
2017,8,-0.11
2017,9,-0.38
2017,10,-0.65
2017,11,-0.84
2017,12,-0.97
2018,1,-0.92
2018,2,-0.85
2018,3,-0.7
2018,4,-0.5
2018,5,-0.22
2018,6,-0.01
2018,7,0.09
2018,8,0.23
2018,9,0.49
2018,10,0.76
2018,11,0.9
2018,12,0.81
2019,1,0.75
2019,2,0.72
2019,3,0.71
2019,4,0.66
2019,5,0.54
2019,6,0.45
2019,7,0.28
2019,8,0.14
2019,9,0.19
2019,10,0.35
2019,11,0.51
2019,12,0.55
2020,1,0.5
2020,2,0.48
2020,3,0.4
2020,4,0.19
2020,5,-0.08
2020,6,-0.3
2020,7,-0.41
2020,8,-0.57
2020,9,-0.89
2020,10,-1.17
2020,11,-1.27
2020,12,-1.19
2021,1,-1.05
2021,2,-0.93
2021,3,-0.84
2021,4,-0.66
2021,5,-0.48
2021,6,-0.38
2021,7,-0.4
2021,8,-0.49
2021,9,-0.67
2021,10,-0.81
2021,11,-0.98
2021,12,-0.99
