Entity,Code,Day,monthly_sea_surface_temperature_anomaly
Northern Hemisphere,,1863-12-15,-0.1043
Northern Hemisphere,,1864-01-15,-0.5922
Northern Hemisphere,,1864-02-15,-0.8251
Northern Hemisphere,,1864-03-15,-0.6651
Northern Hemisphere,,1864-04-15,-0.3296
Northern Hemisphere,,1864-05-15,-0.0135
Northern Hemisphere,,1864-06-15,0.0498
Northern Hemisphere,,1864-07-15,0.1869
Northern Hemisphere,,1864-08-15,0.4194
Northern Hemisphere,,1864-09-15,-0.462
Northern Hemisphere,,1864-10-15,-0.3012
Northern Hemisphere,,1864-11-15,-0.0284
Northern Hemisphere,,1864-12-15,-0.2309
Northern Hemisphere,,1865-01-15,0.002
Northern Hemisphere,,1865-02-15,0.2484
Northern Hemisphere,,1865-03-15,0.006
Northern Hemisphere,,1865-04-15,-0.2346
Northern Hemisphere,,1865-05-15,-0.1862
Northern Hemisphere,,1865-06-15,0.1874
Northern Hemisphere,,1865-07-15,-0.1806
Northern Hemisphere,,1865-08-15,-0.3581
Northern Hemisphere,,1865-09-15,0.0876
Northern Hemisphere,,1865-10-15,0.089
Northern Hemisphere,,1865-11-15,-0.3194
Northern Hemisphere,,1865-12-15,-0.1353
Northern Hemisphere,,1866-01-15,-0.4497
Northern Hemisphere,,1866-02-15,0.1934
Northern Hemisphere,,1866-03-15,-0.3142
Northern Hemisphere,,1866-04-15,-0.4617
Northern Hemisphere,,1866-05-15,-0.4688
Northern Hemisphere,,1866-06-15,0.5134
Northern Hemisphere,,1866-07-15,-0.0737
Northern Hemisphere,,1866-08-15,0.0746
Northern Hemisphere,,1866-09-15,-0.2843
Northern Hemisphere,,1866-10-15,-0.0631
Northern Hemisphere,,1866-11-15,0.115
Northern Hemisphere,,1866-12-15,-0.0752
Northern Hemisphere,,1867-01-15,-0.011
Northern Hemisphere,,1867-02-15,-0.0013
Northern Hemisphere,,1867-03-15,0.3257
Northern Hemisphere,,1867-04-15,-0.1203
Northern Hemisphere,,1867-05-15,0.03
Northern Hemisphere,,1867-06-15,-0.1759
Northern Hemisphere,,1867-07-15,-0.0276
Northern Hemisphere,,1867-08-15,-0.0944
Northern Hemisphere,,1867-09-15,-0.1307
Northern Hemisphere,,1867-10-15,-0.2419
Northern Hemisphere,,1867-11-15,0.111
Northern Hemisphere,,1867-12-15,-0.448
Northern Hemisphere,,1868-01-15,0.0896
Northern Hemisphere,,1868-02-15,-0.3295
Northern Hemisphere,,1868-03-15,0.0297
Northern Hemisphere,,1868-04-15,0.0952
Northern Hemisphere,,1868-05-15,0.0426
Northern Hemisphere,,1868-06-15,0.2802
Northern Hemisphere,,1868-07-15,0.654
Northern Hemisphere,,1868-08-15,0.0597
Northern Hemisphere,,1868-09-15,-0.1223
Northern Hemisphere,,1868-10-15,-0.3941
Northern Hemisphere,,1868-11-15,-0.0113
Northern Hemisphere,,1868-12-15,0.0902
Northern Hemisphere,,1869-01-15,-0.1653
Northern Hemisphere,,1869-02-15,0.0071
Northern Hemisphere,,1869-03-15,-0.155
Northern Hemisphere,,1869-04-15,0.0612
Northern Hemisphere,,1869-05-15,0.1703
Northern Hemisphere,,1869-06-15,-0.158
Northern Hemisphere,,1869-07-15,-0.032
Northern Hemisphere,,1869-08-15,0.059
Northern Hemisphere,,1869-09-15,-0.2122
Northern Hemisphere,,1869-10-15,-0.1888
Northern Hemisphere,,1869-11-15,-0.1894
Northern Hemisphere,,1869-12-15,-0.2605
Northern Hemisphere,,1870-01-15,-0.0507
Northern Hemisphere,,1870-02-15,0.1126
Northern Hemisphere,,1870-03-15,0.0114
Northern Hemisphere,,1870-04-15,-0.0057
Northern Hemisphere,,1870-05-15,0.0022
Northern Hemisphere,,1870-06-15,0.0018
Northern Hemisphere,,1870-07-15,-0.0836
Northern Hemisphere,,1870-08-15,0.095
Northern Hemisphere,,1870-09-15,-0.0911
Northern Hemisphere,,1870-10-15,-0.0339
Northern Hemisphere,,1870-11-15,-0.1774
Northern Hemisphere,,1870-12-15,-0.0425
Northern Hemisphere,,1871-01-15,-0.2202
Northern Hemisphere,,1871-02-15,-0.3772
Northern Hemisphere,,1871-03-15,-0.1445
Northern Hemisphere,,1871-04-15,0.1923
Northern Hemisphere,,1871-05-15,0.0681
Northern Hemisphere,,1871-06-15,-0.0642
Northern Hemisphere,,1871-07-15,0.0776
Northern Hemisphere,,1871-08-15,-0.2619
Northern Hemisphere,,1871-09-15,-0.4158
Northern Hemisphere,,1871-10-15,-0.3873
Northern Hemisphere,,1871-11-15,-0.447
Northern Hemisphere,,1871-12-15,-0.1888
Northern Hemisphere,,1872-01-15,-0.3863
Northern Hemisphere,,1872-02-15,-0.5517
Northern Hemisphere,,1872-03-15,-0.4548
Northern Hemisphere,,1872-04-15,-0.2298
Northern Hemisphere,,1872-05-15,-0.09
Northern Hemisphere,,1872-06-15,-0.0274
Northern Hemisphere,,1872-07-15,0.0402
Northern Hemisphere,,1872-08-15,0.2178
Northern Hemisphere,,1872-09-15,0.1286
Northern Hemisphere,,1872-10-15,-0.2671
Northern Hemisphere,,1872-11-15,-0.3363
Northern Hemisphere,,1872-12-15,-0.3464
Northern Hemisphere,,1873-01-15,-0.0682
Northern Hemisphere,,1873-02-15,-0.579
Northern Hemisphere,,1873-03-15,-0.2712
Northern Hemisphere,,1873-04-15,-0.24
Northern Hemisphere,,1873-05-15,-0.3312
Northern Hemisphere,,1873-06-15,-0.3958
Northern Hemisphere,,1873-07-15,-0.2848
Northern Hemisphere,,1873-08-15,-0.1902
Northern Hemisphere,,1873-09-15,-0.0837
Northern Hemisphere,,1873-10-15,-0.2567
Northern Hemisphere,,1873-11-15,-0.2316
Northern Hemisphere,,1873-12-15,-0.1283
Northern Hemisphere,,1874-01-15,0.1235
Northern Hemisphere,,1874-02-15,-0.3299
Northern Hemisphere,,1874-03-15,-0.4695
Northern Hemisphere,,1874-04-15,-0.4021
Northern Hemisphere,,1874-05-15,-0.067
Northern Hemisphere,,1874-06-15,-0.2223
Northern Hemisphere,,1874-07-15,-0.2362
Northern Hemisphere,,1874-08-15,-0.3669
Northern Hemisphere,,1874-09-15,-0.0787
Northern Hemisphere,,1874-10-15,-0.4679
Northern Hemisphere,,1874-11-15,-0.4509
Northern Hemisphere,,1874-12-15,-0.562
Northern Hemisphere,,1875-01-15,-0.3628
Northern Hemisphere,,1875-02-15,-0.2294
Northern Hemisphere,,1875-03-15,-0.3286
Northern Hemisphere,,1875-04-15,-0.2735
Northern Hemisphere,,1875-05-15,-0.1176
Northern Hemisphere,,1875-06-15,-0.2222
Northern Hemisphere,,1875-07-15,-0.2347
Northern Hemisphere,,1875-08-15,-0.0301
Northern Hemisphere,,1875-09-15,-0.0251
Northern Hemisphere,,1875-10-15,-0.0145
Northern Hemisphere,,1875-11-15,-0.2811
Northern Hemisphere,,1875-12-15,-0.4388
Northern Hemisphere,,1876-01-15,-0.5485
Northern Hemisphere,,1876-02-15,-0.3196
Northern Hemisphere,,1876-03-15,-0.2934
Northern Hemisphere,,1876-04-15,-0.3003
Northern Hemisphere,,1876-05-15,-0.5009
Northern Hemisphere,,1876-06-15,-0.1781
Northern Hemisphere,,1876-07-15,0.1
Northern Hemisphere,,1876-08-15,-0.069
Northern Hemisphere,,1876-09-15,-0.1958
Northern Hemisphere,,1876-10-15,-0.3858
Northern Hemisphere,,1876-11-15,-0.1835
Northern Hemisphere,,1876-12-15,0.0114
Northern Hemisphere,,1877-01-15,-0.2842
Northern Hemisphere,,1877-02-15,0.2286
Northern Hemisphere,,1877-03-15,-0.0431
Northern Hemisphere,,1877-04-15,0.0054
Northern Hemisphere,,1877-05-15,-0.0284
Northern Hemisphere,,1877-06-15,0.218
Northern Hemisphere,,1877-07-15,0.1731
Northern Hemisphere,,1877-08-15,0.3516
Northern Hemisphere,,1877-09-15,0.2612
Northern Hemisphere,,1877-10-15,0.288
Northern Hemisphere,,1877-11-15,0.32
Northern Hemisphere,,1877-12-15,0.4021
Northern Hemisphere,,1878-01-15,0.3221
Northern Hemisphere,,1878-02-15,0.2966
Northern Hemisphere,,1878-03-15,0.2252
Northern Hemisphere,,1878-04-15,0.513
Northern Hemisphere,,1878-05-15,0.3326
Northern Hemisphere,,1878-06-15,0.2742
Northern Hemisphere,,1878-07-15,-0.0259
Northern Hemisphere,,1878-08-15,0.1635
Northern Hemisphere,,1878-09-15,0.1817
Northern Hemisphere,,1878-10-15,-0.2056
Northern Hemisphere,,1878-11-15,-0.2802
Northern Hemisphere,,1878-12-15,-0.025
Northern Hemisphere,,1879-01-15,0.0325
Northern Hemisphere,,1879-02-15,0.0049
Northern Hemisphere,,1879-03-15,-0.0144
Northern Hemisphere,,1879-04-15,-0.1124
Northern Hemisphere,,1879-05-15,-0.0786
Northern Hemisphere,,1879-06-15,-0.172
Northern Hemisphere,,1879-07-15,-0.28
Northern Hemisphere,,1879-08-15,-0.2272
Northern Hemisphere,,1879-09-15,-0.2272
Northern Hemisphere,,1879-10-15,-0.1597
Northern Hemisphere,,1879-11-15,-0.326
Northern Hemisphere,,1879-12-15,-0.3004
Northern Hemisphere,,1880-01-15,-0.1281
Northern Hemisphere,,1880-02-15,-0.2394
Northern Hemisphere,,1880-03-15,0.0104
Northern Hemisphere,,1880-04-15,0.0088
Northern Hemisphere,,1880-05-15,-0.3421
Northern Hemisphere,,1880-06-15,-0.2162
Northern Hemisphere,,1880-07-15,-0.2118
Northern Hemisphere,,1880-08-15,-0.122
Northern Hemisphere,,1880-09-15,-0.2638
Northern Hemisphere,,1880-10-15,-0.1722
Northern Hemisphere,,1880-11-15,-0.1723
Northern Hemisphere,,1880-12-15,-0.1701
Northern Hemisphere,,1881-01-15,0.0437
Northern Hemisphere,,1881-02-15,0.0626
Northern Hemisphere,,1881-03-15,0.0411
Northern Hemisphere,,1881-04-15,-0.0137
Northern Hemisphere,,1881-05-15,-0.0591
Northern Hemisphere,,1881-06-15,-0.0625
Northern Hemisphere,,1881-07-15,-0.1808
Northern Hemisphere,,1881-08-15,-0.1891
Northern Hemisphere,,1881-09-15,-0.2957
Northern Hemisphere,,1881-10-15,-0.3716
Northern Hemisphere,,1881-11-15,-0.4673
Northern Hemisphere,,1881-12-15,-0.2402
Northern Hemisphere,,1882-01-15,-0.1092
Northern Hemisphere,,1882-02-15,-0.239
Northern Hemisphere,,1882-03-15,-0.2135
Northern Hemisphere,,1882-04-15,-0.2454
Northern Hemisphere,,1882-05-15,-0.2888
Northern Hemisphere,,1882-06-15,-0.2905
Northern Hemisphere,,1882-07-15,-0.236
Northern Hemisphere,,1882-08-15,-0.3048
Northern Hemisphere,,1882-09-15,-0.2519
Northern Hemisphere,,1882-10-15,-0.3118
Northern Hemisphere,,1882-11-15,-0.1632
Northern Hemisphere,,1882-12-15,-0.2742
Northern Hemisphere,,1883-01-15,-0.3746
Northern Hemisphere,,1883-02-15,-0.1916
Northern Hemisphere,,1883-03-15,-0.3328
Northern Hemisphere,,1883-04-15,-0.2151
Northern Hemisphere,,1883-05-15,-0.2423
Northern Hemisphere,,1883-06-15,-0.1635
Northern Hemisphere,,1883-07-15,-0.1992
Northern Hemisphere,,1883-08-15,-0.1175
Northern Hemisphere,,1883-09-15,-0.3626
Northern Hemisphere,,1883-10-15,-0.5073
Northern Hemisphere,,1883-11-15,-0.3865
Northern Hemisphere,,1883-12-15,-0.2358
Northern Hemisphere,,1884-01-15,-0.4644
Northern Hemisphere,,1884-02-15,-0.0847
Northern Hemisphere,,1884-03-15,-0.1841
Northern Hemisphere,,1884-04-15,-0.3081
Northern Hemisphere,,1884-05-15,-0.1597
Northern Hemisphere,,1884-06-15,-0.3974
Northern Hemisphere,,1884-07-15,-0.4488
Northern Hemisphere,,1884-08-15,-0.3266
Northern Hemisphere,,1884-09-15,-0.4877
Northern Hemisphere,,1884-10-15,-0.3743
Northern Hemisphere,,1884-11-15,-0.6669
Northern Hemisphere,,1884-12-15,-0.3796
Northern Hemisphere,,1885-01-15,-0.269
Northern Hemisphere,,1885-02-15,-0.3546
Northern Hemisphere,,1885-03-15,-0.3914
Northern Hemisphere,,1885-04-15,-0.324
Northern Hemisphere,,1885-05-15,-0.2354
Northern Hemisphere,,1885-06-15,-0.3321
Northern Hemisphere,,1885-07-15,-0.279
Northern Hemisphere,,1885-08-15,-0.1699
Northern Hemisphere,,1885-09-15,-0.2514
Northern Hemisphere,,1885-10-15,0.0154
Northern Hemisphere,,1885-11-15,-0.2569
Northern Hemisphere,,1885-12-15,-0.142
Northern Hemisphere,,1886-01-15,-0.0272
Northern Hemisphere,,1886-02-15,-0.2596
Northern Hemisphere,,1886-03-15,-0.1798
Northern Hemisphere,,1886-04-15,-0.2395
Northern Hemisphere,,1886-05-15,-0.2007
Northern Hemisphere,,1886-06-15,-0.2804
Northern Hemisphere,,1886-07-15,-0.2447
Northern Hemisphere,,1886-08-15,-0.3536
Northern Hemisphere,,1886-09-15,-0.4629
Northern Hemisphere,,1886-10-15,-0.3427
Northern Hemisphere,,1886-11-15,-0.4384
Northern Hemisphere,,1886-12-15,-0.4425
Northern Hemisphere,,1887-01-15,-0.4628
Northern Hemisphere,,1887-02-15,-0.5088
Northern Hemisphere,,1887-03-15,-0.3431
Northern Hemisphere,,1887-04-15,-0.3548
Northern Hemisphere,,1887-05-15,-0.4542
Northern Hemisphere,,1887-06-15,-0.2391
Northern Hemisphere,,1887-07-15,-0.2356
Northern Hemisphere,,1887-08-15,-0.257
Northern Hemisphere,,1887-09-15,-0.4935
Northern Hemisphere,,1887-10-15,-0.2775
Northern Hemisphere,,1887-11-15,-0.3413
Northern Hemisphere,,1887-12-15,-0.0814
Northern Hemisphere,,1888-01-15,-0.1313
Northern Hemisphere,,1888-02-15,-0.287
Northern Hemisphere,,1888-03-15,-0.1539
Northern Hemisphere,,1888-04-15,-0.0133
Northern Hemisphere,,1888-05-15,-0.0653
Northern Hemisphere,,1888-06-15,-0.0191
Northern Hemisphere,,1888-07-15,-0.1773
Northern Hemisphere,,1888-08-15,-0.2046
Northern Hemisphere,,1888-09-15,-0.1795
Northern Hemisphere,,1888-10-15,-0.0004
Northern Hemisphere,,1888-11-15,-0.0587
Northern Hemisphere,,1888-12-15,0.0171
Northern Hemisphere,,1889-01-15,0.2438
Northern Hemisphere,,1889-02-15,0.0884
Northern Hemisphere,,1889-03-15,0.0373
Northern Hemisphere,,1889-04-15,0.053
Northern Hemisphere,,1889-05-15,-0.0446
Northern Hemisphere,,1889-06-15,-0.0181
Northern Hemisphere,,1889-07-15,-0.1871
Northern Hemisphere,,1889-08-15,-0.1914
Northern Hemisphere,,1889-09-15,-0.246
Northern Hemisphere,,1889-10-15,-0.221
Northern Hemisphere,,1889-11-15,-0.2183
Northern Hemisphere,,1889-12-15,-0.2756
Northern Hemisphere,,1890-01-15,-0.35
Northern Hemisphere,,1890-02-15,-0.2445
Northern Hemisphere,,1890-03-15,-0.2722
Northern Hemisphere,,1890-04-15,-0.3166
Northern Hemisphere,,1890-05-15,-0.2477
Northern Hemisphere,,1890-06-15,-0.3417
Northern Hemisphere,,1890-07-15,-0.5412
Northern Hemisphere,,1890-08-15,-0.5558
Northern Hemisphere,,1890-09-15,-0.5814
Northern Hemisphere,,1890-10-15,-0.5052
Northern Hemisphere,,1890-11-15,-0.486
Northern Hemisphere,,1890-12-15,-0.3769
Northern Hemisphere,,1891-01-15,-0.489
Northern Hemisphere,,1891-02-15,-0.2418
Northern Hemisphere,,1891-03-15,-0.2048
Northern Hemisphere,,1891-04-15,-0.2455
Northern Hemisphere,,1891-05-15,-0.0532
Northern Hemisphere,,1891-06-15,0.0016
Northern Hemisphere,,1891-07-15,-0.0676
Northern Hemisphere,,1891-08-15,-0.1449
Northern Hemisphere,,1891-09-15,-0.0716
Northern Hemisphere,,1891-10-15,-0.1645
Northern Hemisphere,,1891-11-15,-0.3748
Northern Hemisphere,,1891-12-15,-0.18
Northern Hemisphere,,1892-01-15,-0.0901
Northern Hemisphere,,1892-02-15,-0.1219
Northern Hemisphere,,1892-03-15,-0.332
Northern Hemisphere,,1892-04-15,-0.3101
Northern Hemisphere,,1892-05-15,-0.3236
Northern Hemisphere,,1892-06-15,-0.3563
Northern Hemisphere,,1892-07-15,-0.4951
Northern Hemisphere,,1892-08-15,-0.4744
Northern Hemisphere,,1892-09-15,-0.4607
Northern Hemisphere,,1892-10-15,-0.6247
Northern Hemisphere,,1892-11-15,-0.7168
Northern Hemisphere,,1892-12-15,-0.5942
Northern Hemisphere,,1893-01-15,-0.5576
Northern Hemisphere,,1893-02-15,-0.4612
Northern Hemisphere,,1893-03-15,-0.4944
Northern Hemisphere,,1893-04-15,-0.4752
Northern Hemisphere,,1893-05-15,-0.5705
Northern Hemisphere,,1893-06-15,-0.37
Northern Hemisphere,,1893-07-15,-0.1318
Northern Hemisphere,,1893-08-15,-0.313
Northern Hemisphere,,1893-09-15,-0.5436
Northern Hemisphere,,1893-10-15,-0.2982
Northern Hemisphere,,1893-11-15,-0.58
Northern Hemisphere,,1893-12-15,-0.5485
Northern Hemisphere,,1894-01-15,-0.6043
Northern Hemisphere,,1894-02-15,-0.6402
Northern Hemisphere,,1894-03-15,-0.5855
Northern Hemisphere,,1894-04-15,-0.3582
Northern Hemisphere,,1894-05-15,-0.4999
Northern Hemisphere,,1894-06-15,-0.5458
Northern Hemisphere,,1894-07-15,-0.2382
Northern Hemisphere,,1894-08-15,-0.3483
Northern Hemisphere,,1894-09-15,-0.3353
Northern Hemisphere,,1894-10-15,-0.5078
Northern Hemisphere,,1894-11-15,-0.4568
Northern Hemisphere,,1894-12-15,-0.4765
Northern Hemisphere,,1895-01-15,-0.3154
Northern Hemisphere,,1895-02-15,-0.3306
Northern Hemisphere,,1895-03-15,-0.5314
Northern Hemisphere,,1895-04-15,-0.4097
Northern Hemisphere,,1895-05-15,-0.3166
Northern Hemisphere,,1895-06-15,-0.2626
Northern Hemisphere,,1895-07-15,-0.2411
Northern Hemisphere,,1895-08-15,-0.3457
Northern Hemisphere,,1895-09-15,-0.1688
Northern Hemisphere,,1895-10-15,-0.1411
Northern Hemisphere,,1895-11-15,-0.1351
Northern Hemisphere,,1895-12-15,-0.258
Northern Hemisphere,,1896-01-15,-0.3028
Northern Hemisphere,,1896-02-15,-0.2572
Northern Hemisphere,,1896-03-15,-0.1743
Northern Hemisphere,,1896-04-15,-0.1153
Northern Hemisphere,,1896-05-15,-0.071
Northern Hemisphere,,1896-06-15,-0.009
Northern Hemisphere,,1896-07-15,-0.0448
Northern Hemisphere,,1896-08-15,-0.0313
Northern Hemisphere,,1896-09-15,0.0966
Northern Hemisphere,,1896-10-15,-0.17
Northern Hemisphere,,1896-11-15,-0.0248
Northern Hemisphere,,1896-12-15,0.0562
Northern Hemisphere,,1897-01-15,0.0087
Northern Hemisphere,,1897-02-15,-0.0584
Northern Hemisphere,,1897-03-15,0.185
Northern Hemisphere,,1897-04-15,0.0242
Northern Hemisphere,,1897-05-15,-0.0907
Northern Hemisphere,,1897-06-15,-0.11
Northern Hemisphere,,1897-07-15,-0.0408
Northern Hemisphere,,1897-08-15,-0.1467
Northern Hemisphere,,1897-09-15,-0.2424
Northern Hemisphere,,1897-10-15,-0.2304
Northern Hemisphere,,1897-11-15,-0.2244
Northern Hemisphere,,1897-12-15,-0.2234
Northern Hemisphere,,1898-01-15,-0.2517
Northern Hemisphere,,1898-02-15,-0.2086
Northern Hemisphere,,1898-03-15,-0.2106
Northern Hemisphere,,1898-04-15,-0.3274
Northern Hemisphere,,1898-05-15,-0.3764
Northern Hemisphere,,1898-06-15,-0.1871
Northern Hemisphere,,1898-07-15,-0.2248
Northern Hemisphere,,1898-08-15,-0.3072
Northern Hemisphere,,1898-09-15,-0.2827
Northern Hemisphere,,1898-10-15,-0.3829
Northern Hemisphere,,1898-11-15,-0.389
Northern Hemisphere,,1898-12-15,-0.3555
